City,Date,Day temperature,Night temperature
Актау,2 Октября 2021,+21°,+14°
Актау,3 Октября 2021,+21°,+14°
Актау,4 Октября 2021,+21°,+14°
Актау,5 Октября 2021,+21°,+13°
Актау,6 Октября 2021,+20°,+14°
Актау,7 Октября 2021,+20°,+13°
Актау,8 Октября 2021,+20°,+12°
Актау,9 Октября 2021,+20°,+13°
Актау,10 Октября 2021,+19°,+13°
Актау,11 Октября 2021,+20°,+13°
Актау,12 Октября 2021,+19°,+13°
Актау,13 Октября 2021,+19°,+12°
Актау,14 Октября 2021,+19°,+13°
Актау,15 Октября 2021,+19°,+12°
Актау,16 Октября 2021,+19°,+14°
Актау,17 Октября 2021,+19°,+14°
Актау,18 Октября 2021,+19°,+13°
Актау,19 Октября 2021,+19°,+13°
Актау,20 Октября 2021,+18°,+12°
Актау,21 Октября 2021,+17°,+10°
Актау,22 Октября 2021,+17°,+10°
Актау,23 Октября 2021,+18°,+10°
Актау,24 Октября 2021,+16°,+9°
Актау,25 Октября 2021,+16°,+10°
Актау,26 Октября 2021,+14°,+8°
Актау,27 Октября 2021,+14°,+7°
Актау,28 Октября 2021,+15°,+7°
Актау,29 Октября 2021,+15°,+10°
Актау,30 Октября 2021,+15°,+9°
Актау,31 Октября 2021,+14°,+9°
Актау,1 Ноября 2021,+13°,+9°
Актау,2 Ноября 2021,+13°,+8°
Актау,3 Ноября 2021,+13°,+8°
Актау,4 Ноября 2021,+14°,+8°
Актау,5 Ноября 2021,+14°,+9°
Актау,6 Ноября 2021,+13°,+8°
Актау,7 Ноября 2021,+12°,+7°
Актау,8 Ноября 2021,+12°,+7°
Актау,9 Ноября 2021,+13°,+7°
Актау,10 Ноября 2021,+13°,+8°
Актау,11 Ноября 2021,+13°,+8°
Актау,12 Ноября 2021,+12°,+7°
Актау,13 Ноября 2021,+12°,+7°
Актау,14 Ноября 2021,+11°,+6°
Актау,15 Ноября 2021,+11°,+4°
Актау,16 Ноября 2021,+11°,+5°
Актау,17 Ноября 2021,+10°,+4°
Актау,18 Ноября 2021,+9°,+4°
Актау,19 Ноября 2021,+9°,+4°
Актау,20 Ноября 2021,+9°,+3°
Актау,21 Ноября 2021,+8°,+4°
Актау,22 Ноября 2021,+7°,+2°
Актау,23 Ноября 2021,+7°,+3°
Актау,24 Ноября 2021,+7°,+2°
Актау,25 Ноября 2021,+8°,+3°
Актау,26 Ноября 2021,+8°,+4°
Актау,27 Ноября 2021,+9°,+4°
Актау,28 Ноября 2021,+9°,+5°
Актау,29 Ноября 2021,+9°,+4°
Актау,30 Ноября 2021,+9°,+4°
Актау,1 Декабря 2021,+8°,+5°
Актау,2 Декабря 2021,+8°,+4°
Актау,3 Декабря 2021,+7°,+3°
Актау,4 Декабря 2021,+7°,+2°
Актау,5 Декабря 2021,+7°,+2°
Актау,6 Декабря 2021,+7°,+3°
Актау,7 Декабря 2021,+7°,+2°
Актау,8 Декабря 2021,+6°,+1°
Актау,9 Декабря 2021,+6°,+1°
Актау,10 Декабря 2021,+7°,+1°
Актау,11 Декабря 2021,+6°,+2°
Актау,12 Декабря 2021,+6°,+1°
Актау,13 Декабря 2021,+7°,+3°
Актау,14 Декабря 2021,+5°,+2°
Актау,15 Декабря 2021,+4°,0°
Актау,16 Декабря 2021,+4°,0°
Актау,17 Декабря 2021,+3°,-1°
Актау,18 Декабря 2021,+5°,0°
Актау,19 Декабря 2021,+4°,0°
Актау,20 Декабря 2021,+4°,0°
Актау,21 Декабря 2021,+3°,0°
Актау,22 Декабря 2021,+5°,0°
Актау,23 Декабря 2021,+4°,0°
Актау,24 Декабря 2021,+5°,+1°
Актау,25 Декабря 2021,+5°,+1°
Актау,26 Декабря 2021,+5°,+1°
Актау,27 Декабря 2021,+6°,+3°
Актау,28 Декабря 2021,+6°,+2°
Актау,29 Декабря 2021,+6°,+2°
Актау,30 Декабря 2021,+6°,+1°
Актау,31 Декабря 2021,+5°,+1°
Актобе,Сегодня 1 Мая 2021,+19°,+7°
Актобе,2 Мая 2021,+21°,+9°
Актобе,3 Мая 2021,+22°,+13°
Актобе,4 Мая 2021,+23°,+12°
Актобе,5 Мая 2021,+25°,+12°
Актобе,6 Мая 2021,+19°,+11°
Актобе,7 Мая 2021,+22°,+11°
Актобе,8 Мая 2021,+25°,+13°
Актобе,9 Мая 2021,+28°,+13°
Актобе,10 Мая 2021,+25°,+17°
Актобе,11 Мая 2021,+26°,+19°
Актобе,12 Мая 2021,+27°,+20°
Актобе,13 Мая 2021,+27°,+21°
Актобе,14 Мая 2021,+27°,+22°
Актобе,15 Мая 2021,+22°,+12°
Актобе,16 Мая 2021,+21°,+10°
Актобе,17 Мая 2021,+21°,+10°
Актобе,18 Мая 2021,+20°,+10°
Актобе,19 Мая 2021,+21°,+9°
Актобе,20 Мая 2021,+21°,+10°
Актобе,21 Мая 2021,+22°,+10°
Актобе,22 Мая 2021,+23°,+11°
Актобе,23 Мая 2021,+24°,+12°
Актобе,24 Мая 2021,+25°,+12°
Актобе,25 Мая 2021,+25°,+12°
Актобе,26 Мая 2021,+26°,+13°
Актобе,27 Мая 2021,+27°,+14°
Актобе,28 Мая 2021,+26°,+14°
Актобе,29 Мая 2021,+25°,+14°
Актобе,30 Мая 2021,+25°,+12°
Актобе,31 Мая 2021,+26°,+14°
Актобе,1 Июня 2021,+25°,+13°
Актобе,2 Июня 2021,+26°,+13°
Актобе,3 Июня 2021,+26°,+14°
Актобе,4 Июня 2021,+25°,+13°
Актобе,5 Июня 2021,+25°,+13°
Актобе,6 Июня 2021,+26°,+14°
Актобе,7 Июня 2021,+26°,+13°
Актобе,8 Июня 2021,+25°,+12°
Актобе,9 Июня 2021,+26°,+13°
Актобе,10 Июня 2021,+26°,+14°
Актобе,11 Июня 2021,+26°,+13°
Актобе,12 Июня 2021,+27°,+14°
Актобе,13 Июня 2021,+28°,+14°
Актобе,14 Июня 2021,+28°,+15°
Актобе,15 Июня 2021,+28°,+15°
Актобе,16 Июня 2021,+29°,+16°
Актобе,17 Июня 2021,+29°,+16°
Актобе,18 Июня 2021,+29°,+16°
Актобе,19 Июня 2021,+30°,+17°
Актобе,20 Июня 2021,+29°,+16°
Актобе,21 Июня 2021,+31°,+16°
Актобе,22 Июня 2021,+32°,+17°
Актобе,23 Июня 2021,+31°,+18°
Актобе,24 Июня 2021,+30°,+17°
Актобе,25 Июня 2021,+29°,+16°
Актобе,26 Июня 2021,+28°,+16°
Актобе,27 Июня 2021,+28°,+16°
Актобе,28 Июня 2021,+30°,+17°
Актобе,29 Июня 2021,+30°,+17°
Актобе,30 Июня 2021,+29°,+17°
Актобе,1 Июля 2021,+28°,+16°
Актобе,2 Июля 2021,+28°,+16°
Актобе,3 Июля 2021,+30°,+17°
Актобе,4 Июля 2021,+31°,+17°
Актобе,5 Июля 2021,+32°,+19°
Актобе,6 Июля 2021,+31°,+19°
Актобе,7 Июля 2021,+31°,+18°
Актобе,8 Июля 2021,+30°,+18°
Актобе,9 Июля 2021,+31°,+18°
Актобе,10 Июля 2021,+31°,+18°
Актобе,11 Июля 2021,+31°,+18°
Актобе,12 Июля 2021,+31°,+18°
Актобе,13 Июля 2021,+31°,+17°
Актобе,14 Июля 2021,+29°,+17°
Актобе,15 Июля 2021,+30°,+18°
Актобе,16 Июля 2021,+31°,+18°
Актобе,17 Июля 2021,+32°,+19°
Актобе,18 Июля 2021,+32°,+20°
Актобе,19 Июля 2021,+32°,+18°
Актобе,20 Июля 2021,+30°,+17°
Актобе,21 Июля 2021,+30°,+17°
Актобе,22 Июля 2021,+30°,+18°
Актобе,23 Июля 2021,+29°,+18°
Актобе,24 Июля 2021,+29°,+17°
Актобе,25 Июля 2021,+30°,+17°
Актобе,26 Июля 2021,+30°,+17°
Актобе,27 Июля 2021,+29°,+17°
Актобе,28 Июля 2021,+30°,+17°
Актобе,29 Июля 2021,+31°,+17°
Актобе,30 Июля 2021,+31°,+18°
Актобе,31 Июля 2021,+31°,+17°
Актобе,1 Августа 2021,+31°,+18°
Актобе,2 Августа 2021,+30°,+18°
Актобе,3 Августа 2021,+30°,+17°
Актобе,4 Августа 2021,+31°,+17°
Актобе,5 Августа 2021,+32°,+18°
Актобе,6 Августа 2021,+30°,+19°
Актобе,7 Августа 2021,+29°,+17°
Актобе,8 Августа 2021,+29°,+18°
Актобе,9 Августа 2021,+29°,+17°
Актобе,10 Августа 2021,+29°,+16°
Актобе,11 Августа 2021,+30°,+16°
Актобе,12 Августа 2021,+30°,+17°
Актобе,13 Августа 2021,+30°,+18°
Актобе,14 Августа 2021,+30°,+17°
Актобе,15 Августа 2021,+30°,+18°
Актобе,16 Августа 2021,+31°,+18°
Актобе,17 Августа 2021,+31°,+19°
Актобе,18 Августа 2021,+30°,+18°
Актобе,19 Августа 2021,+29°,+18°
Актобе,20 Августа 2021,+29°,+19°
Актобе,21 Августа 2021,+29°,+17°
Актобе,22 Августа 2021,+28°,+16°
Актобе,23 Августа 2021,+26°,+15°
Актобе,24 Августа 2021,+26°,+15°
Актобе,25 Августа 2021,+27°,+16°
Актобе,26 Августа 2021,+27°,+15°
Актобе,27 Августа 2021,+27°,+15°
Актобе,28 Августа 2021,+26°,+15°
Актобе,29 Августа 2021,+27°,+15°
Актобе,30 Августа 2021,+26°,+15°
Актобе,31 Августа 2021,+27°,+15°
Актобе,1 Сентября 2021,+24°,+13°
Актобе,2 Сентября 2021,+23°,+12°
Актобе,3 Сентября 2021,+24°,+12°
Актобе,4 Сентября 2021,+24°,+12°
Актобе,5 Сентября 2021,+25°,+12°
Актобе,6 Сентября 2021,+25°,+14°
Актобе,7 Сентября 2021,+24°,+12°
Актобе,8 Сентября 2021,+23°,+11°
Актобе,9 Сентября 2021,+23°,+12°
Актобе,10 Сентября 2021,+21°,+12°
Актобе,11 Сентября 2021,+20°,+9°
Актобе,12 Сентября 2021,+21°,+10°
Актобе,13 Сентября 2021,+21°,+12°
Актобе,14 Сентября 2021,+23°,+12°
Актобе,15 Сентября 2021,+23°,+11°
Актобе,16 Сентября 2021,+21°,+12°
Актобе,17 Сентября 2021,+21°,+11°
Актобе,18 Сентября 2021,+20°,+10°
Актобе,19 Сентября 2021,+19°,+9°
Актобе,20 Сентября 2021,+19°,+9°
Актобе,21 Сентября 2021,+19°,+8°
Актобе,22 Сентября 2021,+19°,+8°
Актобе,23 Сентября 2021,+20°,+8°
Актобе,24 Сентября 2021,+20°,+9°
Актобе,25 Сентября 2021,+19°,+11°
Актобе,26 Сентября 2021,+17°,+9°
Актобе,27 Сентября 2021,+16°,+7°
Актобе,28 Сентября 2021,+15°,+6°
Актобе,29 Сентября 2021,+16°,+6°
Актобе,30 Сентября 2021,+17°,+7°
Актобе,1 Октября 2021,+16°,+7°
Актобе,2 Октября 2021,+14°,+5°
Актобе,3 Октября 2021,+14°,+5°
Актобе,4 Октября 2021,+14°,+4°
Актобе,5 Октября 2021,+14°,+4°
Актобе,6 Октября 2021,+15°,+4°
Актобе,7 Октября 2021,+14°,+5°
Актобе,8 Октября 2021,+15°,+4°
Актобе,9 Октября 2021,+15°,+4°
Актобе,10 Октября 2021,+15°,+5°
Актобе,11 Октября 2021,+13°,+5°
Актобе,12 Октября 2021,+13°,+4°
Актобе,13 Октября 2021,+13°,+5°
Актобе,14 Октября 2021,+12°,+5°
Актобе,15 Октября 2021,+12°,+4°
Актобе,16 Октября 2021,+12°,+4°
Актобе,17 Октября 2021,+12°,+3°
Актобе,18 Октября 2021,+12°,+3°
Актобе,19 Октября 2021,+13°,+4°
Актобе,20 Октября 2021,+11°,+3°
Актобе,21 Октября 2021,+9°,+1°
Актобе,22 Октября 2021,+8°,+1°
Актобе,23 Октября 2021,+8°,0°
Актобе,24 Октября 2021,+7°,-1°
Актобе,25 Октября 2021,+8°,+1°
Актобе,26 Октября 2021,+6°,-1°
Актобе,27 Октября 2021,+6°,0°
Актобе,28 Октября 2021,+7°,0°
Актобе,29 Октября 2021,+8°,+1°
Актобе,30 Октября 2021,+7°,+1°
Актобе,31 Октября 2021,+7°,+1°
Актобе,1 Ноября 2021,+6°,0°
Актобе,2 Ноября 2021,+5°,-1°
Актобе,3 Ноября 2021,+5°,-1°
Актобе,4 Ноября 2021,+5°,-1°
Актобе,5 Ноября 2021,+5°,0°
Актобе,6 Ноября 2021,+4°,0°
Актобе,7 Ноября 2021,+4°,-1°
Актобе,8 Ноября 2021,+3°,-1°
Актобе,9 Ноября 2021,+3°,-1°
Актобе,10 Ноября 2021,+3°,-2°
Актобе,11 Ноября 2021,+2°,-2°
Актобе,12 Ноября 2021,+3°,-2°
Актобе,13 Ноября 2021,+2°,-3°
Актобе,14 Ноября 2021,+3°,-3°
Актобе,15 Ноября 2021,+1°,-4°
Актобе,16 Ноября 2021,+1°,-4°
Актобе,17 Ноября 2021,0°,-5°
Актобе,18 Ноября 2021,0°,-5°
Актобе,19 Ноября 2021,-2°,-7°
Актобе,20 Ноября 2021,-3°,-9°
Актобе,21 Ноября 2021,-2°,-9°
Актобе,22 Ноября 2021,-1°,-7°
Актобе,23 Ноября 2021,-1°,-6°
Актобе,24 Ноября 2021,-2°,-7°
Актобе,25 Ноября 2021,-2°,-7°
Актобе,26 Ноября 2021,-1°,-6°
Актобе,27 Ноября 2021,0°,-5°
Актобе,28 Ноября 2021,-1°,-5°
Актобе,29 Ноября 2021,-2°,-6°
Актобе,30 Ноября 2021,-2°,-7°
Актобе,1 Декабря 2021,-3°,-7°
Актобе,2 Декабря 2021,-3°,-8°
Актобе,3 Декабря 2021,-4°,-8°
Актобе,4 Декабря 2021,-4°,-10°
Актобе,5 Декабря 2021,-3°,-9°
Актобе,6 Декабря 2021,-3°,-8°
Актобе,7 Декабря 2021,-4°,-8°
Актобе,8 Декабря 2021,-5°,-9°
Актобе,9 Декабря 2021,-5°,-10°
Актобе,10 Декабря 2021,-5°,-10°
Актобе,11 Декабря 2021,-5°,-10°
Актобе,12 Декабря 2021,-6°,-12°
Актобе,13 Декабря 2021,-5°,-11°
Актобе,14 Декабря 2021,-6°,-10°
Актобе,15 Декабря 2021,-7°,-12°
Актобе,16 Декабря 2021,-8°,-14°
Актобе,17 Декабря 2021,-9°,-15°
Актобе,18 Декабря 2021,-9°,-13°
Актобе,19 Декабря 2021,-9°,-13°
Актобе,20 Декабря 2021,-9°,-14°
Актобе,21 Декабря 2021,-10°,-14°
Актобе,22 Декабря 2021,-10°,-14°
Актобе,23 Декабря 2021,-8°,-13°
Актобе,24 Декабря 2021,-8°,-14°
Актобе,25 Декабря 2021,-7°,-12°
Актобе,26 Декабря 2021,-7°,-10°
Актобе,27 Декабря 2021,-5°,-12°
Актобе,28 Декабря 2021,-4°,-8°
Актобе,29 Декабря 2021,-6°,-9°
Актобе,30 Декабря 2021,-8°,-13°
Актобе,31 Декабря 2021,-6°,-12°
Алматы,Сегодня 1 Мая 2021,+14°,+10°
Алматы,2 Мая 2021,+20°,+6°
Алматы,3 Мая 2021,+24°,+10°
Алматы,4 Мая 2021,+24°,+12°
Алматы,5 Мая 2021,+27°,+11°
Алматы,6 Мая 2021,+27°,+16°
Алматы,7 Мая 2021,+26°,+15°
Алматы,8 Мая 2021,+25°,+15°
Алматы,9 Мая 2021,+20°,+12°
Алматы,10 Мая 2021,+19°,+12°
Алматы,11 Мая 2021,+22°,+13°
Алматы,12 Мая 2021,+23°,+15°
Алматы,13 Мая 2021,+24°,+17°
Алматы,14 Мая 2021,+25°,+19°
Алматы,15 Мая 2021,+24°,+11°
Алматы,16 Мая 2021,+24°,+12°
Алматы,17 Мая 2021,+22°,+11°
Алматы,18 Мая 2021,+23°,+11°
Алматы,19 Мая 2021,+22°,+12°
Алматы,20 Мая 2021,+21°,+10°
Алматы,21 Мая 2021,+22°,+9°
Алматы,22 Мая 2021,+22°,+10°
Алматы,23 Мая 2021,+23°,+10°
Алматы,24 Мая 2021,+23°,+11°
Алматы,25 Мая 2021,+23°,+11°
Алматы,26 Мая 2021,+25°,+12°
Алматы,27 Мая 2021,+24°,+11°
Алматы,28 Мая 2021,+24°,+11°
Алматы,29 Мая 2021,+27°,+12°
Алматы,30 Мая 2021,+27°,+14°
Алматы,31 Мая 2021,+26°,+12°
Алматы,1 Июня 2021,+27°,+13°
Алматы,2 Июня 2021,+26°,+14°
Алматы,3 Июня 2021,+25°,+14°
Алматы,4 Июня 2021,+27°,+13°
Алматы,5 Июня 2021,+26°,+14°
Алматы,6 Июня 2021,+26°,+14°
Алматы,7 Июня 2021,+27°,+14°
Алматы,8 Июня 2021,+28°,+15°
Алматы,9 Июня 2021,+27°,+15°
Алматы,10 Июня 2021,+27°,+15°
Алматы,11 Июня 2021,+26°,+15°
Алматы,12 Июня 2021,+27°,+15°
Алматы,13 Июня 2021,+27°,+15°
Алматы,14 Июня 2021,+28°,+16°
Алматы,15 Июня 2021,+28°,+16°
Алматы,16 Июня 2021,+27°,+16°
Алматы,17 Июня 2021,+27°,+15°
Алматы,18 Июня 2021,+27°,+14°
Алматы,19 Июня 2021,+29°,+14°
Алматы,20 Июня 2021,+28°,+15°
Алматы,21 Июня 2021,+29°,+16°
Алматы,22 Июня 2021,+29°,+16°
Алматы,23 Июня 2021,+29°,+16°
Алматы,24 Июня 2021,+28°,+17°
Алматы,25 Июня 2021,+29°,+16°
Алматы,26 Июня 2021,+29°,+16°
Алматы,27 Июня 2021,+28°,+16°
Алматы,28 Июня 2021,+28°,+16°
Алматы,29 Июня 2021,+29°,+16°
Алматы,30 Июня 2021,+31°,+15°
Алматы,1 Июля 2021,+30°,+16°
Алматы,2 Июля 2021,+30°,+17°
Алматы,3 Июля 2021,+29°,+17°
Алматы,4 Июля 2021,+29°,+16°
Алматы,5 Июля 2021,+29°,+15°
Алматы,6 Июля 2021,+29°,+16°
Алматы,7 Июля 2021,+30°,+16°
Алматы,8 Июля 2021,+31°,+17°
Алматы,9 Июля 2021,+31°,+17°
Алматы,10 Июля 2021,+30°,+18°
Алматы,11 Июля 2021,+31°,+17°
Алматы,12 Июля 2021,+32°,+17°
Алматы,13 Июля 2021,+32°,+17°
Алматы,14 Июля 2021,+31°,+18°
Алматы,15 Июля 2021,+30°,+17°
Алматы,16 Июля 2021,+31°,+18°
Алматы,17 Июля 2021,+32°,+18°
Алматы,18 Июля 2021,+31°,+19°
Алматы,19 Июля 2021,+30°,+19°
Алматы,20 Июля 2021,+32°,+18°
Алматы,21 Июля 2021,+32°,+18°
Алматы,22 Июля 2021,+31°,+17°
Алматы,23 Июля 2021,+32°,+17°
Алматы,24 Июля 2021,+31°,+17°
Алматы,25 Июля 2021,+31°,+17°
Алматы,26 Июля 2021,+32°,+18°
Алматы,27 Июля 2021,+31°,+17°
Алматы,28 Июля 2021,+30°,+18°
Алматы,29 Июля 2021,+31°,+17°
Алматы,30 Июля 2021,+30°,+16°
Алматы,31 Июля 2021,+30°,+16°
Алматы,1 Августа 2021,+31°,+18°
Алматы,2 Августа 2021,+31°,+17°
Алматы,3 Августа 2021,+32°,+17°
Алматы,4 Августа 2021,+31°,+18°
Алматы,5 Августа 2021,+31°,+17°
Алматы,6 Августа 2021,+33°,+18°
Алматы,7 Августа 2021,+32°,+18°
Алматы,8 Августа 2021,+32°,+18°
Алматы,9 Августа 2021,+32°,+18°
Алматы,10 Августа 2021,+31°,+17°
Алматы,11 Августа 2021,+30°,+17°
Алматы,12 Августа 2021,+29°,+15°
Алматы,13 Августа 2021,+29°,+16°
Алматы,14 Августа 2021,+28°,+15°
Алматы,15 Августа 2021,+28°,+14°
Алматы,16 Августа 2021,+28°,+15°
Алматы,17 Августа 2021,+28°,+15°
Алматы,18 Августа 2021,+27°,+14°
Алматы,19 Августа 2021,+28°,+14°
Алматы,20 Августа 2021,+30°,+16°
Алматы,21 Августа 2021,+29°,+16°
Алматы,22 Августа 2021,+30°,+15°
Алматы,23 Августа 2021,+28°,+15°
Алматы,24 Августа 2021,+29°,+15°
Алматы,25 Августа 2021,+29°,+15°
Алматы,26 Августа 2021,+28°,+15°
Алматы,27 Августа 2021,+27°,+13°
Алматы,28 Августа 2021,+28°,+14°
Алматы,29 Августа 2021,+28°,+14°
Алматы,30 Августа 2021,+26°,+14°
Алматы,31 Августа 2021,+28°,+13°
Алматы,1 Сентября 2021,+28°,+14°
Алматы,2 Сентября 2021,+27°,+14°
Алматы,3 Сентября 2021,+25°,+14°
Алматы,4 Сентября 2021,+26°,+12°
Алматы,5 Сентября 2021,+25°,+13°
Алматы,6 Сентября 2021,+25°,+12°
Алматы,7 Сентября 2021,+25°,+12°
Алматы,8 Сентября 2021,+26°,+12°
Алматы,9 Сентября 2021,+25°,+13°
Алматы,10 Сентября 2021,+27°,+13°
Алматы,11 Сентября 2021,+26°,+14°
Алматы,12 Сентября 2021,+24°,+12°
Алматы,13 Сентября 2021,+23°,+10°
Алматы,14 Сентября 2021,+24°,+11°
Алматы,15 Сентября 2021,+24°,+11°
Алматы,16 Сентября 2021,+23°,+12°
Алматы,17 Сентября 2021,+24°,+12°
Алматы,18 Сентября 2021,+24°,+11°
Алматы,19 Сентября 2021,+23°,+12°
Алматы,20 Сентября 2021,+23°,+11°
Алматы,21 Сентября 2021,+23°,+12°
Алматы,22 Сентября 2021,+22°,+11°
Алматы,23 Сентября 2021,+21°,+11°
